id_ent,id_mun,month_def,year_def,tot_covid_deaths,excess_mortality_ssa,rate_excess_mortality_ssa,excess_mortality_inegi,rate_excess_inegi
01,01001,1,2020,0,0,-100,-15,-3.08
01,01001,1,2021,108,396,-18.69,NA,NA
01,01001,1,2022,72,NA,NA,NA,NA
01,01001,2,2020,0,0,-100,7,1.65
01,01001,2,2021,159,276,-35.06,NA,NA
01,01001,2,2022,94,NA,NA,NA,NA
01,01001,3,2020,0,0,-100,-25,-5.69
01,01001,3,2021,65,153,-65.15,NA,NA
01,01001,3,2022,11,NA,NA,NA,NA
01,01001,4,2020,3,12,-96.92,-38,-9.74
01,01001,4,2021,54,133,-65.9,NA,NA
01,01001,4,2022,2,NA,NA,NA,NA
01,01001,5,2020,13,50,-88.24,-31,-7.29
01,01001,5,2021,26,51,-88,NA,NA
01,01001,5,2022,3,NA,NA,NA,NA
01,01001,6,2020,52,117,-67.86,71,19.51
01,01001,6,2021,21,25,-93.13,NA,NA
01,01001,6,2022,4,NA,NA,NA,NA
01,01001,7,2020,53,152,-57.54,191,53.35
01,01001,7,2021,5,30,-91.62,NA,NA
01,01001,7,2022,0,NA,NA,NA,NA
01,01001,8,2020,57,205,-43.06,286,79.44
01,01001,8,2021,41,153,-57.5,NA,NA
01,01001,8,2022,0,NA,NA,NA,NA
01,01001,9,2020,94,247,-34.48,333,88.33
01,01001,9,2021,59,166,-55.97,NA,NA
01,01001,9,2022,0,NA,NA,NA,NA
01,01001,10,2020,61,265,-30.99,430,111.98
01,01001,10,2021,45,84,-78.12,NA,NA
01,01001,10,2022,0,NA,NA,NA,NA
01,01001,11,2020,155,472,24.54,721,190.24
01,01001,11,2021,24,0,-100,NA,NA
01,01001,11,2022,0,NA,NA,NA,NA
01,01001,12,2020,174,400,-5.66,392,92.45
01,01001,12,2021,28,0,-100,NA,NA
01,01001,12,2022,0,NA,NA,NA,NA
01,01002,1,2020,0,0,-100,4,28.57
01,01002,1,2021,4,7,-50,NA,NA
01,01002,1,2022,3,NA,NA,NA,NA
01,01002,2,2020,0,0,-100,-4,-33.33
01,01002,2,2021,5,8,-33.33,NA,NA
01,01002,2,2022,4,NA,NA,NA,NA
